Subject	B11	A06	B09	B12	B04	B01	B16	C09
DW.caries	low	low	high	high	low	low	high	high
p_Proteobacteria|c_Gammaproteobacteria|o_Pseudomonadales|f_Moraxellaceae|g_Moraxella|s_osloensis	0	0	0	0	0	0	0	0
p_Proteobacteria|c_Gammaproteobacteria|o_Pseudomonadales|f_Moraxellaceae|g_Acinetobacter|s_junii	0	0	0	0	0	0	0	0
p_Proteobacteria|c_Gammaproteobacteria|o_Pseudomonadales|f_Pseudomonadaceae|g_Pseudomonas|s_stutzeri	0	0	0	0	2	0	0	0
p_Proteobacteria|c_Gammaproteobacteria|o_Pseudomonadales|f_Pseudomonadaceae|g_Pseudomonas|s_pseudoalcaligenes	0	0	0	0	0	0	0	0
p_Proteobacteria|c_Gammaproteobacteria|o_Pseudomonadales|f_Pseudomonadaceae|g_Pseudomonas|s_pseudoalcaligenes.1	0	0	0	0	0	0	0	0
p_Proteobacteria|c_Betaproteobacteria|o_Neisseriales|f_Neisseriaceae|g_Kingella|s_oralis	0	0	361	0	62	0	33	0
p_Proteobacteria|c_Betaproteobacteria|o_Neisseriales|f_Neisseriaceae|g_Neisseria|s_Unclassified	0	0	8	0	0	0	0	0
p_Proteobacteria|c_Betaproteobacteria|o_Neisseriales|f_Neisseriaceae|g_Eikenella|s_corrodens	68	0	62	0	962	2	0	0
p_Proteobacteria|c_Betaproteobacteria|o_Neisseriales|f_Neisseriaceae|g_Kingella|s_sp._HMT_012	0	0	0	0	116	0	0	0
p_Proteobacteria|c_Betaproteobacteria|o_Neisseriales|f_Neisseriaceae|g_Neisseria|s_Unclassified.1	0	0	0	0	3955	0	0	0
p_Proteobacteria|c_Betaproteobacteria|o_Neisseriales|f_Neisseriaceae|g_Neisseria|s_Unclassified.2	0	0	231	4	11969	0	13	0
p_Proteobacteria|c_Betaproteobacteria|o_Neisseriales|f_Neisseriaceae|g_Neisseria|s_bacilliformis	0	0	8	0	0	0	0	0
p_Proteobacteria|c_Betaproteobacteria|o_Neisseriales|f_Neisseriaceae|g_Neisseria|s_oralis	0	0	0	0	0	0	0	0
p_Proteobacteria|c_Betaproteobacteria|o_Neisseriales|f_Neisseriaceae|g_Neisseria|s_oralis.1	0	1522	57	0	0	0	0	0
p_Proteobacteria|c_Betaproteobacteria|o_Burkholderiales|f_Comamonadaceae|g_Delftia|s_acidovorans	0	0	0	0	0	0	0	0
p_Proteobacteria|c_Betaproteobacteria|o_Burkholderiales|f_Comamonadaceae|g_Ottowia|s_sp._HMT_894	0	0	0	0	269	0	0	0
p_Proteobacteria|c_Betaproteobacteria|o_Burkholderiales|f_Burkholderiaceae|g_Lautropia|s_mirabilis	0	0	3015	0	7423	9	0	0
p_Proteobacteria|c_Betaproteobacteria|o_Burkholderiales|f_Burkholderiaceae|g_Ralstonia|s_pickettii	2109	0	2319	204	0	0	2954	0
